,ID,From,Date,Subject,Label
0,b'23291',TheaterMania <tminsider@theatermania.com>,"Thu, 26 Oct 2017 19:04:48",broadwayhd makes deal with amazon and ''the prince of egypt''   releases new footage,1.0
1,b'22949',"""KAYAK"" <news@kayak.com>","Thu, 19 Oct 2017 15:41:03",you + blue waters + luxury bungalows = the best vacation ever.,1.0
2,b'22657',Reserve <reservations@e.reserve.com>,"Thu, 12 Oct 2017 17:57:15",grab a table at the best restaurants in chicago on reserve,1.0
3,b'22379',"""LIDS"" <email@et.lids.com>","Fri, 06 Oct 2017 16:05:07",best. jerseys. ever.,1.0
4,b'22250',"""Forever 21"" <forever21@news.forever21.com>","Wed, 04 Oct 2017 07:34:24",#1 best sellers,1.0
5,b'22202',"""Timberland.com"" <timberland@e.timberland.com>","Tue, 03 Oct 2017 09:06:11",best excuse ever\,1.0
6,b'22644',"""Target"" <targetnews@em.target.com>","Thu, 12 Oct 2017 13:37:39",clearance.,1.0
7,b'22367',"""Crate and Barrel"" <crateandbarrel@mail.crateandbarrel.com>","Fri, 06 Oct 2017 11:44:53",one word: clearance.,1.0
8,b'22407',"""Kiehl's Since 1851"" <kiehls@mail.kiehls-usa.com>","Sat, 07 Oct 2017 10:20:31",a hydration collection for all skin types,1.0
9,b'22364',"""Kiehl's Since 1851"" <kiehls@mail.kiehls-usa.com>","Fri, 06 Oct 2017 10:22:17",a hydration collection all skincare users need,1.0
10,b'22168',"""LIDS"" <email@et.lids.com>","Mon, 02 Oct 2017 10:47:47",ÂºÃ° the 2017 nfl salute to service collectionÂºÃ°,1.0
11,b'22916',"""KAYAK"" <news@kayak.com>","Thu, 19 Oct 2017 01:58:53",punta cana w/air fr $675 | ireland w/air fr $799 | maui hotel deal fr $189,1.0
12,b'22895',"""Target"" <targetnews@em.target.com>","Wed, 18 Oct 2017 12:34:45",double up with this denim deal.,1.0
13,b'22738',"""CheapOair Weekly Deals"" <CheapOair@myCheapOair.com>","Sat, 14 Oct 2017 17:05:38",major announcement! october flight deals from los angeles!,1.0
14,b'22554',"""KAYAK"" <news@kayak.com>","Tue, 10 Oct 2017 19:25:42",bored with work? people love these travel deals.,1.0
15,b'22400',"""katespade.com"" <katespade@em.katespade.com>","Sat, 07 Oct 2017 08:26:37",sweet deal: a dress for $168,1.0
16,b'22223',"""KAYAK"" <news@kayak.com>","Tue, 03 Oct 2017 16:49:34","going fast: the top ord destinations, staycations, private deals, more",1.0
17,b'23181',"""KAYAK"" <news@kayak.com>","Tue, 24 Oct 2017 21:38:50","just the best deals, right now",1.0
